"Store Name","Street Address","Borough","Zip 
Code","Year Awarded","Program 
Wave","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"Rivas Deli Grocery","651 East 183rd Street","Bronx","10458","2013","1","40.852568","-73.887484","206","15","2,012,464","2,030,870,033","391","BX0603"
"C-Town","1761 Southern Boulevard","Bronx","10460","2013","1","40.837267","-73.888016","203","15","2,009,878","2,029,400,047","155","BX0303"
"La India Mini Market","1942 Marmion Avenue","Bronx","10460","2013","1","40.842942","-73.887136","206","15","2,010,156","2,029,600,059","36502","BX0602"
"Los Hermanos","2019 Vyse Avenue","Bronx","10460","2013","1","40.842391","-73.881835","206","15","2,013,203","2,031,270,020","363","BX0601"
"Price Choice Food Market","820 East 180th Street","Bronx","10460","2013","1","40.846173","-73.884871","206","15","2,012,955","2,031,080,008","36501","BX0602"
"D&A Deli Grocery","1155 East Tremont Avenue","Bronx","10460","2013","1","40.839889","-73.875193","206","15","2,042,470","2,040,070,022","220","BX0601"
"Lucky Star Gourmet Deli","856 East 188th Street","Bronx","10460","2013","1",,,,,,,,
"Food Choice","333 East 184th Street","Bronx","10458","2013","1","40.858274","-73.896071","205","15","2,010,979","2,030,220,001","39902","BX0503"
"Cache Grocery","804 East 178th Street","Bronx","10460","2013","1","40.844534","-73.887046","206","15","2,012,942","2,031,070,004","36501","BX0602"
"Associated Supermarket","1334 Louis Nine Boulevard","Bronx","10459","2013","1","40.831535","-73.892337","203","17","2,118,405","2,029,767,501","123","BX0303"
"AZ Deli","1093A Southern Boulevard","Bronx","10459","2013","1","40.825924","-73.89193","202","17","2,005,806","2,027,270,045","12701","BX0202"
"Price Choice Food Market","807 Tremont Avenue","Bronx","10460","2013","1",,,,,,,,
"Key Foods","1050 Westchester Boulevard","Bronx","10459","2013","1",,,,,,,,
"Pioneer Supermarket","2865 Webester Avenue","Bronx","10458","2013","1",,,,,,,,
"Compare Foods","4800 Park Avenue","Bronx","10458","2013","1",,,,,,,,
"Met Supermarket","277 198th Street","Bronx","10458","2013","1",,,,,,,,
"EEJ Deli","550 East 187th Street","Bronx","10458","2013","1","40.856385","-73.889152","206","15","2,011,662","2,030,540,022","387","BX0603"
"Santana","4664 Park Avenue","Bronx","10458","2013","1","40.85817","-73.892869","206","15","2,011,392","2,030,400,007","385","BX0603"
"FineFare","1472 Boston Road","Bronx","10460","2013","1","40.834235","-73.894884","203","17","2,010,262","2,029,640,042","153","BX0303"
"Deli Grocery","275 East Kingsbridge Road","Bronx","10458","2013","1","40.863691","-73.894244","207","15","2,016,817","2,032,930,106","39901","BX0701"
"965 Castillo Meat and Produce","965 East 172nd Street","Bronx","10460","2013","1","40.833364","-73.887683","203","17","2,010,797","2,029,960,049","157","BX0303"
"Santos","2641 Bainbridge Avenue","Bronx","10458","2013","1","40.864814","-73.892048","207","15","2,016,832","2,032,940,001","40501","BX0702"
"Alondra Food Corp.","838 East 180th Street","Bronx","10460","2013","1","40.8457","-73.883911","206","15","2,088,384","2,031,180,157","363","BX0601"
"Brianelly","2308 Washington Avenue","Bronx","10458","2013","1","40.855606","-73.892808","206","15","2,011,628","2,030,530,062","385","BX0603"
"Emerald Food Store","2709-11 Briggs Avenue","Bronx","10458","2013","1","40.866359","-73.891673","207","15","2,115,734","2,033,000,055","40501","BX0702"
"Bx Supermarket/Compare Foods","312 E. 194th Street","Bronx","10458","2013","1","40.864421","-73.891799","207","15","2,016,607","2,032,870,008","39901","BX0701"
"1030 Deli & Food Corp","1030 East Tremont Avenue","Bronx","10460","2013","1","40.840342","-73.88087","206","15","2,000,000","2,030,057,501","359","BX0601"
"Kelvin Food Mart, Inc","724 East 187th Street","Bronx","10458","2013","1","40.853885","-73.883578","206","15","2,092,312","2,031,020,029","393","BX0603"
"Stop One","2431 Hoffman Street","Bronx","10458","2013","1","40.856754","-73.887821","206","15",,,"387","BX0603"
"A-Mart","2433 Hoffman Street","Bronx","10458","2013","1","40.856922","-73.887672","206","15","2,011,809","2,030,580,105","387","BX0603"
"Modern Food","2385 Arthur Avenue","Bronx","10458","2013","1","40.855237","-73.887849","206","15","2,011,890","2,030,650,033","391","BX0603"
"Mickey & Elvis College","717 East 187th Street","Bronx","10458","2013","1","40.854025","-73.883997","206","15","2,012,928","2,031,050,058","389","BX0603"
"Bronx Zoo Deli Corp","732 East 187th Street","Bronx","10460","2013","1","40.85375","-73.883112","206","15","2,012,837","2,031,020,030","393","BX0603"
"548 Gourmet Deli","548 East 183rd Street","Bronx","10458","2013","1","40.854186","-73.891042","206","15","2,011,589","2,030,510,031","385","BX0603"
"Danery's Grocery Corp.","765 East 175th Street","Bronx","10460","2013","1","40.841486","-73.891125","206","15","2,010,014","2,029,530,001","367","BX0602"
"Will Grocery & Meat Market","1492 Vyse Avenue","Bronx","10460","2013","1","40.833029","-73.888186","203","17","2,010,757","2,029,950,017","157","BX0303"
"A & G Gourmet Deli","2132 Mohegan Avenue","Bronx","10460","2013","1","40.84641","-73.882688","206","15","2,013,164","2,031,240,043","363","BX0601"
"Caña Arriba","1465 Bryant Avenue","Bronx","10460","2013","1","40.831953","-73.887823","203","17","2,010,773","2,029,950,042","157","BX0303"
"885 East Tremont Deli","885 East Tremont Avenue","Bronx","10460","2013","1","40.842463","-73.885123","206","15","2,013,110","2,031,210,002","363","BX0601"
"Pioneer Supermarket","2865 Webester Avenue","Bronx","10458","2013","1",,,,,,,,
"Compare Foods","4800 Park Avenue","Bronx","10458","2013","1",,,,,,,,
"Tejada Castillo Food Corporation","1675 Boston Road","Bronx","10458","2013","1","40.836404","-73.889409","203","15","2,009,883","2,029,400,065","155","BX0303"
"Tony's Family","526 East 183rd Street","Bronx","10458","2013","1","40.854678","-73.891945","206","15","2,011,560","2,030,500,066","385","BX0603"
